timestep,width,height,count_for_type_0,count_for_type_1,count_for_type_2,count_for_type_3,count_for_type_4
0,50,50,2224,92,77,83,24
1,50,50,1628,688,77,83,24
2,50,50,872,1444,77,0,107
3,50,50,423,1873,92,5,107
4,50,50,100,1600,688,5,107
5,50,50,15,929,1444,0,112
6,50,50,83,423,1873,9,112
7,50,50,605,118,1600,65,112
8,50,50,1205,128,929,117,121
9,50,50,1494,293,423,113,177
10,50,50,1534,520,118,90,238
11,50,50,1266,767,128,49,290
12,50,50,942,926,293,11,328
13,50,50,669,970,520,2,339
14,50,50,495,885,767,14,339
15,50,50,401,804,926,28,341
16,50,50,343,794,970,40,353
17,50,50,393,802,885,51,369
18,50,50,383,870,804,50,393
19,50,50,332,904,794,50,420
20,50,50,301,905,802,49,443
21,50,50,283,826,870,51,470
22,50,50,312,733,904,59,492
23,50,50,345,677,905,52,521
24,50,50,433,640,826,50,551
25,50,50,471,662,733,61,573
26,50,50,485,672,677,65,601
27,50,50,499,666,640,61,634
28,50,50,479,643,662,50,666
29,50,50,452,641,672,40,695
30,50,50,417,663,666,38,716
31,50,50,429,654,643,39,735
32,50,50,393,668,641,44,754
33,50,50,376,637,663,50,774
34,50,50,404,600,654,44,798
35,50,50,424,548,668,36,824
36,50,50,413,556,637,52,842
37,50,50,375,603,600,62,860
38,50,50,372,635,548,51,894
39,50,50,321,658,556,43,922
40,50,50,308,606,603,38,945
41,50,50,318,548,635,34,965
42,50,50,368,453,658,38,983
43,50,50,412,439,606,44,999
44,50,50,436,442,548,53,1021
45,50,50,485,467,453,52,1043
46,50,50,458,495,439,34,1074
47,50,50,401,534,442,28,1095
48,50,50,355,546,467,24,1108
49,50,50,344,510,495,28,1123
50,50,50,332,466,534,36,1132
