timestep,width,height,count_for_type_0,count_for_type_1,count_for_type_2,count_for_type_3,count_for_type_4
0,50,50,2252,74,74,73,27
1,50,50,1760,566,74,73,27
2,50,50,1113,1213,74,0,100
3,50,50,641,1644,74,41,100
4,50,50,313,1480,566,41,100
5,50,50,114,1032,1213,0,141
6,50,50,57,619,1644,39,141
7,50,50,269,315,1480,295,141
8,50,50,589,127,1032,572,180
9,50,50,831,52,619,562,436
10,50,50,970,46,315,417,752
11,50,50,1055,55,127,265,998
12,50,50,1076,62,52,141,1169
13,50,50,1052,81,46,58,1263
14,50,50,1022,97,55,16,1310
15,50,50,994,111,62,12,1321
16,50,50,957,125,81,11,1326
17,50,50,905,150,97,15,1333
18,50,50,853,180,111,19,1337
19,50,50,792,206,125,29,1348
20,50,50,737,225,150,32,1356
21,50,50,668,247,180,28,1377
22,50,50,595,271,206,40,1388
23,50,50,542,276,225,52,1405
24,50,50,505,259,247,61,1428
25,50,50,473,220,271,79,1457
26,50,50,455,191,276,89,1489
27,50,50,469,158,259,78,1536
28,50,50,480,130,220,92,1578
29,50,50,497,93,191,105,1614
30,50,50,523,67,158,82,1670
31,50,50,549,46,130,56,1719
32,50,50,571,35,93,49,1752
33,50,50,583,30,67,45,1775
34,50,50,595,25,46,33,1801
35,50,50,600,21,35,24,1820
36,50,50,604,15,30,17,1834
37,50,50,607,10,25,14,1844
38,50,50,610,7,21,11,1851
39,50,50,616,6,15,5,1858
40,50,50,619,6,10,3,1862
41,50,50,618,8,7,4,1863
42,50,50,619,6,6,4,1865
43,50,50,622,3,6,2,1867
44,50,50,623,0,8,0,1869
45,50,50,625,0,6,0,1869
46,50,50,626,0,3,2,1869
47,50,50,628,0,0,3,1869
48,50,50,628,0,0,1,1871
49,50,50,628,0,0,0,1872
50,50,50,628,0,0,0,1872
